lat,long,prof_km,mag_m,mag_ms,mag_mw,type,fecha,hora
-16.6,-71.3,30,7.6,0.0,0.0,historico,1552-07-02,05:30:00
-11.9,-77.6,30,0.0,8.4,0.0,historico,1555-11-14,19:00:00
-12.3,-77.7,30,6.6,6.4,0.0,historico,1568-04-03,19:00:00
-16.6,-71.6,30,0.0,8.2,7.5,historico,1582-01-22,11:30:00
-12.2,-77.6,30,0.0,7.8,0.0,historico,1582-08-14,19:00:00
-11.8,-77.8,30,0.0,8.4,0.0,historico,1584-03-16,19:00:00
-12.109,-77.028,40,7.7,8.6,0.0,historico,1586-07-09,19:30:00
-16.77,-70.9,20,0.0,7.9,0.0,historico,1600-02-19,05:00:00
-16.6,-70.8,20,0.0,8.1,0.0,historico,1600-02-28,15:00:00
-17.88,-70.94,30,7.0,9.4,0.0,historico,1604-11-24,13:30:00
-7.0,-80.3,40,0.0,6.5,0.0,historico,1606-03-23,15:00:00
-11.8,-77.8,60,6.8,0.0,0.0,historico,1606-10-25,08:00:00
-11.9,-77.4,40,7.4,8.6,0.0,historico,1609-10-19,20:00:00
-18.25,-71.0,40,0.0,8.8,0.0,historico,1615-09-15,19:00:00
-7.941,-79.038,40,7.7,8.6,8.7,historico,1619-02-14,11:30:00
-12.2,-77.5,30,7.5,0.0,0.0,historico,1630-11-27,10:30:00
-13.6,-72.2,70,7.4,0.0,0.0,historico,1650-03-31,11:10:00
-13.5,-71.7,30,0.0,7.2,0.0,historico,1650-03-31,14:00:00
-12.3,-77.6,30,7.7,8.8,0.0,historico,1655-11-13,14:45:00
-8.2,-80.1,40,7.7,0.0,0.0,historico,1658-02-13,19:00:00
-14.1,-75.85,15,0.0,7.3,0.0,historico,1664-05-12,04:15:00
-12.3,-77.8,40,0.0,0.0,7.7,historico,1678-06-15,20:45:00
-12.55,-77.0,40,6.4,5.9,0.0,historico,1687-10-20,04:15:00
-13.231,-76.507,30,0.0,8.2,8.6,historico,1687-10-20,05:30:00
-16.4,-71.6,60,0.0,7.2,8.0,historico,1687-10-21,07:00:00
-12.55,-77.0,40,0.0,7.2,0.0,historico,1690-11-20,14:30:00
-12.8,-77.7,20,6.7,0.0,0.0,historico,1696-07-14,04:00:00
-12.3,-77.4,30,7.3,0.0,0.0,historico,1697-09-29,08:30:00
-11.8,-77.5,40,7.7,7.8,0.0,historico,1699-07-14,04:00:00
-13.9,-72.1,10,4.1,0.0,0.0,historico,1700-08-02,16:00:00
-13.9,-72.1,10,4.4,0.0,0.0,historico,1707-09-18,00:00:00
-12.6,-77.5,60,4.6,0.0,0.0,historico,1709-05-23,02:00:00
-12.3,-77.3,60,6.3,0.0,0.0,historico,1709-12-20,05:00:00
-13.2,-74.4,20,4.6,0.0,0.0,historico,1719-06-16,19:00:00
-11.8,-77.6,50,0.0,6.9,0.0,historico,1732-12-02,01:00:00
-3.1,-78.1,0,0.0,6.8,0.0,historico,1741-08-24,19:00:00
-13.77,-72.1,20,0.0,4.8,0.0,historico,1744-11-19,06:30:00
-14.0,-71.7,20,4.9,0.0,0.0,historico,1746-02-10,19:00:00
-11.996,-77.198,30,0.0,8.4,8.8,historico,1746-10-28,22:30:00
-8.58,-78.1,20,4.9,0.0,0.0,historico,1747-03-14,13:30:00
-13.9,-70.35,20,0.0,6.2,0.0,historico,1747-03-18,19:00:00
-4.0,-79.3,0,0.0,7.4,0.0,historico,1749-01-19,19:00:00
-8.134,-79.932,50,0.0,5.9,0.0,historico,1759-09-02,23:15:00
-11.8,-77.4,50,0.0,5.3,0.0,historico,1777-01-26,03:00:00
-16.5,-72.0,27,7.8,8.0,8.4,historico,1784-05-13,07:36:00
-12.2,-77.4,40,4.9,0.0,0.0,historico,1794-09-06,19:00:00
-12.2,-77.4,40,4.9,0.0,0.0,historico,1799-01-21,16:00:00
-16.8,-71.8,25,4.8,0.0,0.0,historico,1812-01-03,11:45:00
-16.107,-72.967,90,0.0,8.2,0.0,historico,1821-07-10,08:00:00
-16.4,-71.6,0,0.0,7.9,0.0,historico,1821-07-10,13:10:00
-18.251,-71.01,60,0.0,7.7,7.2,historico,1833-09-18,05:45:00
-11.0,-75.0,20,0.0,5.3,0.0,historico,1839-07-04,19:30:00
-12.3,-77.3,40,4.8,0.0,0.0,historico,1840-01-28,03:00:00
-16.6,-71.6,30,4.7,0.0,0.0,historico,1845-06-03,22:45:00
-13.803,-73.419,20,4.5,0.0,0.0,historico,1861-04-13,17:30:00
-16.4,-71.56,0,0.0,0.0,8.8,historico,1868-08-13,16:23:00
-18.29,-70.59,25,0.0,8.6,0.0,historico,1868-08-13,16:46:00
-17.5,-72.0,30,0.0,8.4,0.0,historico,1869-08-24,13:45:00
-16.6,-71.65,30,4.9,0.0,0.0,historico,1869-11-03,19:30:00
-13.4,-72.7,20,4.9,0.0,0.0,historico,1875-12-05,21:30:00
-16.0,-68.0,20,0.0,5.2,0.0,historico,1877-05-16,19:00:00
-20.05,-77.0,40,0.0,7.9,0.0,historico,1878-01-22,19:00:00
-15.5,-68.5,5,0.0,6.2,0.0,historico,1891-08-15,06:03:00
-11.913,-76.791,70,0.0,7.7,0.0,historico,1897-09-20,11:25:00
-14.177,-76.32,80,0.0,6.7,0.0,historico,1901-11-21,14:19:00
-9.0,-78.4,80,0.0,6.8,0.0,historico,1902-01-02,09:08:00
-4.0,-79.2,0,0.0,6.8,0.0,historico,1904-05-04,11:00:00
-13.67,-71.87,7,4.1,0.0,0.0,historico,1905-01-23,06:15:00
-6.172,-77.494,150,6.7,7.9,0.0,historico,1906-09-28,10:24:54
-4.0,-79.2,0,0.0,6.2,0.0,historico,1907-11-17,05:15:00
-3.42,-79.61,50,0.0,7.7,0.0,historico,1913-02-23,21:30:00
-16.6,-73.3,30,0.0,7.0,0.0,historico,1913-07-28,01:40:00
-15.8,-73.5,80,0.0,7.8,0.0,historico,1913-08-06,17:14:24
-15.242,-73.346,15,4.3,0.0,0.0,historico,1914-12-02,18:55:00
-15.2,-75.0,70,0.0,6.7,0.0,historico,1915-12-27,10:48:00
-15.155,-73.93,90,0.0,7.3,0.0,historico,1915-12-28,18:40:00
-12.967,-74.064,120,0.0,6.9,0.0,historico,1916-02-08,10:35:00
-15.133,-74.173,80,0.0,7.1,0.0,historico,1920-10-07,15:54:00
-4.11,-72.04,630,7.5,7.9,0.0,historico,1921-12-18,10:29:35
-16.5,-73.0,0,0.0,7.2,0.0,historico,1922-01-06,09:11:02
-3.76,-71.89,635,0.0,7.6,0.0,historico,1922-01-16,22:50:33
-16.0,-72.5,50,7.6,7.4,0.0,historico,1922-10-11,09:49:50
-4.0,-82.0,60,0.0,6.8,0.0,historico,1924-03-11,17:44:23
-2.0,-72.0,0,0.0,6.9,0.0,historico,1924-03-15,20:22:36
-14.0,-73.5,200,0.0,6.5,0.0,historico,1925-01-05,08:45:46
-8.0,-75.0,0,0.0,6.9,0.0,historico,1925-09-12,04:26:00
-18.0,-73.0,0,0.0,6.9,0.0,historico,1925-10-24,23:30:00
-9.5,-84.0,0,0.0,6.8,0.0,historico,1926-03-07,15:32:30
-5.27,-77.45,93,0.0,6.5,0.0,historico,1926-03-07,15:33:38
-12.52,-77.073,80,0.0,7.2,0.0,historico,1926-03-11,05:41:54
-17.0,-78.5,0,0.0,6.8,0.0,historico,1926-06-04,20:20:15
-5.0,-81.5,0,0.0,6.8,0.0,historico,1926-07-01,15:29:30
-2.5,-71.0,0,0.0,6.8,0.0,historico,1926-07-13,20:38:40
-6.0,-81.5,0,0.0,6.0,0.0,historico,1927-03-13,00:32:26
-10.0,-70.0,600,0.0,6.0,0.0,historico,1927-04-06,13:54:05
-13.0,-69.5,30,0.0,6.9,0.0,historico,1928-04-09,12:34:15
-13.0,-69.5,259,0.0,6.8,0.0,historico,1928-04-27,15:34:58
-5.194,-78.335,30,6.2,7.3,0.0,historico,1928-05-14,17:14:46
-5.454,-77.873,70,5.4,7.0,0.0,historico,1928-07-18,14:05:00
-15.0,-70.5,250,0.0,6.8,0.0,historico,1928-09-21,08:27:05
-8.5,-75.5,150,0.0,6.8,0.0,historico,1929-05-25,06:59:38
-9.5,-70.5,650,0.0,6.5,0.0,historico,1930-08-04,00:04:31
-3.44,-77.51,135,0.0,6.3,0.0,historico,1930-11-24,01:06:48
-9.25,-79.0,0,0.0,6.3,0.0,historico,1931-04-02,20:56:11
-14.5,-75.5,0,0.0,6.0,0.0,historico,1931-06-15,06:19:55
-14.139,-71.36,15,4.0,0.0,0.0,historico,1931-06-18,09:35:00
-8.5,-74.5,120,0.0,6.3,0.0,historico,1931-07-11,00:56:13
-11.881,-77.734,40,0.0,6.7,0.0,historico,1932-01-19,21:30:50
-6.5,-81.5,0,6.4,0.0,0.0,historico,1932-06-24,21:31:41
-6.0,-81.0,50,0.0,6.0,0.0,historico,1932-09-05,01:23:50
-15.379,-74.348,90,0.0,6.5,0.0,historico,1932-12-09,03:34:55
-15.75,-75.25,80,0.0,6.0,0.0,historico,1933-07-22,23:13:11
-15.5,-75.5,80,0.0,6.0,0.0,historico,1933-07-31,10:23:07
-13.151,-76.526,60,0.0,6.5,0.0,historico,1933-08-05,21:54:52
-13.0,-80.0,0,0.0,5.6,0.0,historico,1933-08-20,17:59:16
-13.0,-80.0,0,0.0,5.6,0.0,historico,1933-08-22,04:49:58
-10.9,-69.5,65,0.0,6.5,0.0,historico,1933-08-29,09:52:36
-7.0,-75.25,120,0.0,6.3,0.0,historico,1933-09-30,21:40:42
-2.0,-81.0,0,0.0,6.9,0.0,historico,1933-10-02,10:29:21
-1.75,-80.75,0,0.0,6.3,0.0,historico,1933-10-03,05:21:00
-1.75,-80.75,0,0.0,6.0,0.0,historico,1933-10-03,09:21:49
-5.0,-81.5,0,5.2,0.0,0.0,historico,1933-12-29,03:17:01
-5.0,-78.0,110,0.0,6.3,0.0,historico,1934-10-29,18:25:23
-19.5,-69.5,11,0.0,6.9,0.0,historico,1934-12-04,12:24:38
-9.82,-77.43,25,4.6,0.0,0.0,historico,1935-03-05,17:35:00
-12.0,-78.0,150,0.0,5.8,0.0,historico,1935-03-08,21:54:37
-15.5,-73.0,120,0.0,6.0,0.0,historico,1935-03-26,14:54:47
-15.5,-70.0,250,0.0,6.5,0.0,historico,1935-09-19,04:55:47
-8.0,-75.0,160,0.0,6.0,0.0,historico,1936-05-05,22:38:55
